score,name,category,phone,website,status,gaps,rating,reviews,city,slug,verify_on_google,failing
101,1401 Hair Designs & Massage Therapy,beauty,+1-302-655-1401,https://1401bell.com,live,11,,,Wilmington,1401-hair-designs-and-massage-therapy,https://www.google.com/maps/search/?api=1&query=1401%20Hair%20Designs%20%26%20Massage%20Therapy%201401%20Pennsylvania%20Avenue%20Wilmington%20DE,mobile https phoneTap hours address services reviews cta seo meta social
96,World Transmissions Car Care Center,car repair,,http://www.worldtransmissions.pro/,live,11,,,Dover,world-transmissions-car-care-center,https://www.google.com/maps/search/?api=1&query=World%20Transmissions%20Car%20Care%20Center%202860%20North%20Dupont%20Highway%20Dover%20DE,mobile https phoneTap hours address services reviews cta seo meta social
93,Coastal Car Wash,car wash,+13028833554,http://www.coastalcarwash.com/,© 2020,7,,,Dover,coastal-car-wash,https://www.google.com/maps/search/?api=1&query=Coastal%20Car%20Wash%201117%20South%20Dupont%20Highway%20Dover%20DE,https speed phoneTap reviews cta seo meta
79,Trendz Salon and Color Bar,hairdresser,+1-302-724-5444,https://www.trendzscb.com,© 2022,7,,,Dover,trendz-salon-and-color-bar,https://www.google.com/maps/search/?api=1&query=Trendz%20Salon%20and%20Color%20Bar%2047%20Greentree%20Drive%20Dover%20DE,phoneTap address services reviews seo meta social
75,Brandywine Auto Body,car repair,+1 302-478-1120,https://www.brandywineautobody.com,live,9,,,Talleyville,brandywine-auto-body,https://www.google.com/maps/search/?api=1&query=Brandywine%20Auto%20Body%20301%20Brandywine%20Boulevard%20Talleyville%20DE,speed phoneTap hours address services reviews seo meta social
73,Fidelity Investments,financial advisor,+1 800-201-5380,https://www.fidelity.com/branches/investor-center-wilmington-greenville-delaware-19807,© 2023,7,,,Greenville,fidelity-investments,https://www.google.com/maps/search/?api=1&query=Fidelity%20Investments%204001%20Kennett%20Pike%20Greenville%20DE,speed phoneTap hours address services reviews seo
73,Monticolo Insurance Agency,insurance,+1-856-299-9016,https://monticoloinsurance.com/,© 2005,6,,,Carneys Point,monticolo-insurance-agency,https://www.google.com/maps/search/?api=1&query=Monticolo%20Insurance%20Agency%20244%20Shell%20Road%20Carneys%20Point%20NJ,speed address services reviews seo meta
69,Fairfax Valet Cleaners,dry cleaning,+1 302-652-6725,https://www.fairfaxvalet.com,live,8,,,,fairfax-valet-cleaners,https://www.google.com/maps/search/?api=1&query=Fairfax%20Valet%20Cleaners%203%20Fairfax%20Boulevard%20San%20Diego%20DE,phoneTap hours address reviews cta seo meta social
64,Sports Car Service,car repair,,https://sportscarservice.com/,live,9,,,Wilmington,sports-car-service,https://www.google.com/maps/search/?api=1&query=Sports%20Car%20Service%203901%20North%20Market%20Street%20Wilmington%20DE,phoneTap hours address services reviews cta seo meta social
63,Fairfax Hardware,hardware,+1 302-656-2139,https://fairfaxhardwarede.com,live,6,,,,fairfax-hardware,https://www.google.com/maps/search/?api=1&query=Fairfax%20Hardware%202305A%20Concord%20Pike%20San%20Diego%20DE,speed hours address reviews seo meta
58,AFR Furniture Clearance Center,furniture,,https://afrcc.com,live,8,,,New Castle,afr-furniture-clearance-center,https://www.google.com/maps/search/?api=1&query=AFR%20Furniture%20Clearance%20Center%20490%20West%20Basin%20Road%20New%20Castle%20DE,speed phoneTap hours address services reviews cta seo
