score,name,category,phone,website,status,gaps,rating,reviews,city,slug,verify_on_google,failing
101,UniPrice Cleaners,dry cleaning,+1 414 223 3111,http://uniprice-cleaners.com/brady.htm,live,10,,,Milwaukee,uniprice-cleaners,https://www.google.com/maps/search/?api=1&query=UniPrice%20Cleaners%201229%20East%20Brady%20Street%20Milwaukee%20WI,mobile https phoneTap address services reviews cta seo meta social
87,Bennett Coachworks,car repair,+1 414 298 2068,http://www.hotrodbuilders.com,live,9,,,Milwaukee,bennett-coachworks,https://www.google.com/maps/search/?api=1&query=Bennett%20Coachworks%201500%20North%20Vel%20R.%20Phillips%20Avenue%20Milwaukee%20CA,mobile speed phoneTap hours address services reviews seo social
85,La Posh Salon,hairdresser,+1 414 264 7674,https://www.laposhsalonmke.com,© 2016,8,,,Milwaukee,la-posh-salon,https://www.google.com/maps/search/?api=1&query=La%20Posh%20Salon%20215%20West%20North%20Avenue%20Milwaukee%20WI,mobile speed phoneTap hours address services reviews cta
85,TRIM,hairdresser,+1-615-269-8029,https://www.trimnashville.com/,© 1999,10,,,Nashville,trim,https://www.google.com/maps/search/?api=1&query=TRIM%202315%2012th%20Avenue%20South%20Nashville%20TN,speed phoneTap hours address services reviews cta seo meta social
85,"Soul Collective MKE, LP",fitness centre,+1 414-436-3296,https://soulcollectivemke.com/,© 1999,10,,,Milwaukee,soul-collective-mke-lp,https://www.google.com/maps/search/?api=1&query=Soul%20Collective%20MKE%2C%20LP%20900%20South%205th%20Street%20Milwaukee%20WI,speed phoneTap hours address services reviews cta seo meta social
83,Gloss Nail Spa,beauty,+1 414 273 1741,http://www.glossnailspa.net,live,8,,,Milwaukee,gloss-nail-spa,https://www.google.com/maps/search/?api=1&query=Gloss%20Nail%20Spa%201545%20North%20Water%20Street%20Milwaukee%20CA,https speed hours services reviews seo meta social
83,Tess Hair & Wig Boutique,beauty,+1 414 271 9447,http://www.wigs4utessbeautysupply.com,live,10,,,Milwaukee,tess-hair-and-wig-boutique,https://www.google.com/maps/search/?api=1&query=Tess%20Hair%20%26%20Wig%20Boutique%201531%20North%20Farwell%20Avenue%20Milwaukee%20WI,https speed phoneTap hours address services reviews cta seo social
80,Residence,furniture,,http://www.residencemilwaukee.com,© 2023,7,,,Milwaukee,residence,https://www.google.com/maps/search/?api=1&query=Residence%20612%20North%20Broadway%20Milwaukee%20CA,mobile speed phoneTap hours address services reviews
79,"SLC Services, Inc.",accountant,+1-704-531-7715,https://slcservices.biz/,© 2023,6,,,Charlotte,slc-services-inc,https://www.google.com/maps/search/?api=1&query=SLC%20Services%2C%20Inc.%20415%20S%20Sharon%20Amity%20Rd%20Charlotte%20NC,speed services reviews seo meta social
79,McCormick Law Office,lawyer,+1 414 272 3636,https://www.danmccormicklaw.com/,© 2020,7,,,,mccormick-law-office,https://www.google.com/maps/search/?api=1&query=McCormick%20Law%20Office%20San%20Diego%20CA,phoneTap hours address reviews seo meta social
79,Leavened,bakery,+1-216-260-1666,https://leavenedcle.com/,© 2022,7,,,Cleveland,leavened,https://www.google.com/maps/search/?api=1&query=Leavened%201633%20Auburn%20Avenue%20Cleveland%20OH,speed address services reviews seo meta social
75,Marquette University Medical Clinic,doctors,+1 414 288 7184,https://www.marquette.edu/medical-clinic/,live,7,,,Milwaukee,marquette-university-medical-clinic,https://www.google.com/maps/search/?api=1&query=Marquette%20University%20Medical%20Clinic%20545%20North%2015th%20Street%20Milwaukee%20CA,speed phoneTap address services seo meta social
75,Yeast Nashville,bakery,+1-615-678-4592,https://www.yeastnashville.com/,live,7,,,Nashville,yeast-nashville,https://www.google.com/maps/search/?api=1&query=Yeast%20Nashville%20805%20Woodland%20Street%20Nashville%20TN,mobile speed hours address services reviews meta
75,East Nashville Family Medicine,doctors,+1-615-469-5555,https://www.eastnashvillefamilymed.com/,live,6,,,Nashville,east-nashville-family-medicine,https://www.google.com/maps/search/?api=1&query=East%20Nashville%20Family%20Medicine%20801%20Woodland%20Street%20Nashville%20TN,mobile speed address services reviews meta
75,Vitality,fitness centre,+1 414 800 6033,https://vitalitymke.com/,live,8,,,Milwaukee,vitality,https://www.google.com/maps/search/?api=1&query=Vitality%20222%20East%20Erie%20Street%20Milwaukee%20CA,speed phoneTap address services reviews seo meta social
75,Le Fleur Spa,massage,+17043945100,http://bodyrubscharlotte.org/,live,10,,,Charlotte,le-fleur-spa,https://www.google.com/maps/search/?api=1&query=Le%20Fleur%20Spa%20714%20Montana%20Drive%20Charlotte%20NC,speed phoneTap hours address services reviews cta seo meta social
73,Shred415,fitness centre,+1 414 837 6380,https://shred415.com/locations/eastside,© 2023,7,,,Milwaukee,shred415,https://www.google.com/maps/search/?api=1&query=Shred415%202165%20North%20Prospect%20Avenue%20Milwaukee%20WI,speed phoneTap hours address services reviews meta
73,"William Linger, DDS, MAGD",dentist,+1-704-364-2510,https://www.drlinger.com,© 2021,7,,,Charlotte,william-linger-dds-magd,https://www.google.com/maps/search/?api=1&query=William%20Linger%2C%20DDS%2C%20MAGD%20435%20N%20Wendover%20Road%20Charlotte%20NC,speed phoneTap hours address services reviews seo
69,Ellipse Fitness,fitness centre,+1 414 224 7870,http://ellipsefitness.com/locations-2/third-ward-ellipse-fitness/,live,7,,,Milwaukee,ellipse-fitness,https://www.google.com/maps/search/?api=1&query=Ellipse%20Fitness%20597%20East%20Erie%20Street%20Milwaukee%20CA,speed phoneTap hours address reviews seo meta
69,Scottfree Salon,hairdresser,+1 414 223 0896,http://www.scottfreesalon.com,live,9,,,Milwaukee,scottfree-salon,https://www.google.com/maps/search/?api=1&query=Scottfree%20Salon%20726%20North%20Milwaukee%20Street%20Milwaukee%20CA,phoneTap hours address services reviews cta seo meta social
69,MATC Dental Clinic,dentist,+1 414 297 6573,http://www.matc.edu/communityresources/dental.cfm,live,8,,,,matc-dental-clinic,https://www.google.com/maps/search/?api=1&query=MATC%20Dental%20Clinic%20San%20Diego%20CA,speed hours address services reviews seo meta social
69,Metro Eye,optician,+1 414 727 5888,http://metroeye.biz,live,9,,,,metro-eye,https://www.google.com/maps/search/?api=1&query=Metro%20Eye%20San%20Diego%20CA,phoneTap hours address services reviews cta seo meta social
