score,name,category,phone,website,status,gaps,rating,reviews,city,slug,verify_on_google,failing
105,Globe Optical,optician,+1-206-622-7002,http://globeoptical.qwestoffice.net/,© 2010,8,,,Seattle,globe-optical,https://www.google.com/maps/search/?api=1&query=Globe%20Optical%202008%205th%20Avenue%20Seattle%20WA,mobile https phoneTap address services reviews seo social
93,Dave Page Cobbler,shoe repair,+1-206-632-8686,https://davepagecobbler.com/,live,11,,,Seattle,dave-page-cobbler,https://www.google.com/maps/search/?api=1&query=Dave%20Page%20Cobbler%203509%20Evanston%20Avenue%20North%20Seattle%20CA,mobile speed phoneTap hours address services reviews cta seo meta social
87,Downtown Barber Shop,hairdresser,+1-602-253-7474,https://barberboard.az.gov/,live,9,,,Phoenix,downtown-barber-shop,https://www.google.com/maps/search/?api=1&query=Downtown%20Barber%20Shop%20216%20North%20Central%20Avenue%20Phoenix%20AZ,mobile speed hours address services reviews seo meta social
85,Salon Metro,hairdresser,+1-206-545-6905,https://www.salonmetroseattle.com/,© 2021,9,,,Seattle,salon-metro,https://www.google.com/maps/search/?api=1&query=Salon%20Metro%201714%20North%2045th%20Street%20Seattle%20CA,speed phoneTap hours address services reviews seo meta social
85,Tran Law Group,lawyer,+1-206-625-4091,https://www.tranlawgroup.com/,© 2016,6,,,Seattle,tran-law-group,https://www.google.com/maps/search/?api=1&query=Tran%20Law%20Group%20787%20Maynard%20Avenue%20South%20Seattle%20WA,mobile speed hours services reviews meta
84,Wink Hair Studio,hairdresser,,http://www.winkhairstudio.com,live,9,,,Seattle,wink-hair-studio,https://www.google.com/maps/search/?api=1&query=Wink%20Hair%20Studio%20623%20West%20McGraw%20Street%20Seattle%20CA,mobile https phoneTap hours address services reviews cta seo
82,Transformation-Surprise Laundromat,laundry,,http://www.transformationsurprise.com,live,9,,,Seattle,transformation-surprise-laundromat,https://www.google.com/maps/search/?api=1&query=Transformation-Surprise%20Laundromat%205505%208th%20Avenue%20Northwest%20Seattle%20CA,mobile phoneTap address services reviews cta seo meta social
81,Macrina Bakery - Belltown,bakery,+1-206-448-4032,https://macrinabakery.com/,live,7,,,Seattle,macrina-bakery-belltown,https://www.google.com/maps/search/?api=1&query=Macrina%20Bakery%20-%20Belltown%202408%201st%20Avenue%20Seattle%20WA,mobile speed phoneTap hours address reviews meta
81,Miller Law Group,lawyer,+1-206-963-0760,https://www.legalbymiller.com/,live,8,,,Seattle,miller-law-group,https://www.google.com/maps/search/?api=1&query=Miller%20Law%20Group%202916%20Northeast%2055th%20Street%20Seattle%20CA,mobile hours address services reviews seo meta social
80,Spruce Salon & Spa,hairdresser,,https://www.spruceseattle.com/,© 1999,10,,,Seattle,spruce-salon-and-spa,https://www.google.com/maps/search/?api=1&query=Spruce%20Salon%20%26%20Spa%204333%20Fremont%20Avenue%20North%20Seattle%20CA,speed phoneTap hours address services reviews cta seo meta social
80,Omar’s Tires,tyres,,https://omarstireshop.com/,© 2021,9,,,Seattle,omar-s-tires,https://www.google.com/maps/search/?api=1&query=Omar%E2%80%99s%20Tires%202221%20North%2045th%20Street%20Seattle%20CA,speed phoneTap hours address services reviews seo meta social
80,And Blonde,hairdresser,,http://www.andblonde.com,© 2016,8,,,Seattle,and-blonde,https://www.google.com/maps/search/?api=1&query=And%20Blonde%20612%20West%20McGraw%20Street%20Seattle%20CA,mobile speed phoneTap hours address services reviews cta
80,Urban Yoga Spa,fitness centre,,https://www.urbanyogaspa.com/,© 2019,7,,,Seattle,urban-yoga-spa,https://www.google.com/maps/search/?api=1&query=Urban%20Yoga%20Spa%201900%204th%20Avenue%20Seattle%20WA,speed phoneTap address reviews seo meta social
80,Conscious Eatery,caterer,,https://consciouseatery.org/,© 2019,9,,,Seattle,conscious-eatery,https://www.google.com/maps/search/?api=1&query=Conscious%20Eatery%205620%206th%20Avenue%20South%20Seattle%20CA,speed phoneTap hours address services reviews seo meta social
79,Breathe Hot Yoga,fitness centre,+1-206-659-0092,https://www.breathehotyoga.com/,© 2009,7,,,Seattle,breathe-hot-yoga,https://www.google.com/maps/search/?api=1&query=Breathe%20Hot%20Yoga%203750%20Southwest%20Alaska%20Street%20Seattle%20WA,speed phoneTap hours services reviews seo social
79,Posh Paws,pet grooming,+1-206-257-4887,https://poshpawsseattle.com/,© 2013,6,,,Seattle,posh-paws,https://www.google.com/maps/search/?api=1&query=Posh%20Paws%206411%20Roosevelt%20Way%20Northeast%20Seattle%20CA,phoneTap services reviews seo meta social
78,Urban Smiles Dentists,dentist,,http://www.urbansmiles.com/,live,7,,,Seattle,urban-smiles-dentists,https://www.google.com/maps/search/?api=1&query=Urban%20Smiles%20Dentists%202936%20Eastlake%20Avenue%20East%20Seattle%20CA,https speed services reviews seo meta social
75,OU Physicians Reproductive Medicine,doctors,+1 405 271 1616,https://www.ouinfertility.com/,live,6,,,Oklahoma City,ou-physicians-reproductive-medicine,https://www.google.com/maps/search/?api=1&query=OU%20Physicians%20Reproductive%20Medicine%20840%20Research%20Parkway%20Oklahoma%20City%20CA,mobile speed hours services reviews seo
75,Strive & Uplift,fitness centre,+1-206-919-9079,https://www.striveanduplift.com/,live,10,,,Seattle,strive-and-uplift,https://www.google.com/maps/search/?api=1&query=Strive%20%26%20Uplift%201715%20Northwest%20Market%20Street%20Seattle%20CA,speed phoneTap hours address services reviews cta seo meta social
75,Sugar Bakery & Cafe,bakery,+1-206-749-4105,https://sugarbakerycafe.com/,live,7,,,Seattle,sugar-bakery-and-cafe,https://www.google.com/maps/search/?api=1&query=Sugar%20Bakery%20%26%20Cafe%201014%20Madison%20Street%20Seattle%20WA,mobile speed hours address services reviews meta
74,Nola,hairdresser,,http://nolaseattle.com/,© 2017,8,,,Seattle,nola,https://www.google.com/maps/search/?api=1&query=Nola%201090%20North%20Northlake%20Way%20Seattle%20CA,phoneTap hours address services reviews seo meta social
74,Northwest Woodworkers Gallery,furniture,,nwwoodgallery.com,© 2023,9,,,Seattle,northwest-woodworkers-gallery,https://www.google.com/maps/search/?api=1&query=Northwest%20Woodworkers%20Gallery%202105%201st%20Avenue%20Seattle%20WA,phoneTap hours address services reviews cta seo meta social
73,The Baseball Barber Shop,hairdresser,+1-206-706-7111,https://vintage-baseball-barbershop-landing.vercel.app/,© 2023,3,,,Seattle,the-baseball-barber-shop,https://www.google.com/maps/search/?api=1&query=The%20Baseball%20Barber%20Shop%204602%20Stone%20Way%20North%20Seattle%20WA,phoneTap seo social
72,Crosscut Hardwoods,carpenter,,http://www.crosscutseattle.com/,live,7,,,Seattle,crosscut-hardwoods,https://www.google.com/maps/search/?api=1&query=Crosscut%20Hardwoods%204100%201st%20Avenue%20South%20Seattle%20WA,https speed phoneTap services reviews cta seo
71,Columbia City Bouquet,florist,+1-206-722-2200,https://columbiacitybouquet.com,live,6,,,Seattle,columbia-city-bouquet,https://www.google.com/maps/search/?api=1&query=Columbia%20City%20Bouquet%204873%20Rainier%20Avenue%20South%20Seattle%20WA,https speed phoneTap hours reviews cta
70,The French Guys,bakery,,https://www.thefrenchguys.com,live,6,,,Seattle,the-french-guys,https://www.google.com/maps/search/?api=1&query=The%20French%20Guys%20810%20East%20Roy%20Street%20Seattle%20WA,mobile speed hours services reviews seo
