score,name,category,phone,website,status,gaps,rating,reviews,city,slug,verify_on_google,failing
101,Superior Smog & Tune,car repair,+1-619-469-2112,https://superiorsmog.com,live,9,,,Lemon Grove,superior-smog-and-tune,https://www.google.com/maps/search/?api=1&query=Superior%20Smog%20%26%20Tune%207319%20Broadway%20Lemon%20Grove%20CA,mobile https phoneTap address services reviews seo meta social
99,Jamul Flowers,florist,+1-619-669-0662,http://www.jamulflowers.com/,© 2013,10,,,Spring Valley,jamul-flowers,https://www.google.com/maps/search/?api=1&query=Jamul%20Flowers%2012883%20Campo%20Road%20Spring%20Valley%20CA,https speed phoneTap hours address services reviews seo meta social
97,Big Kahuna's,caterer,+1 619 429 5224,https://bigkahunasib.com,© 2023,9,,,Imperial Beach,big-kahuna-s,https://www.google.com/maps/search/?api=1&query=Big%20Kahuna's%20600%20Palm%20Avenue%20Imperial%20Beach%20CA,mobile phoneTap hours address services reviews seo meta social
91,Emerald Sportswear,tailor,+1-619-741-7335,http://emeraldsportswear.com/,© 2014,8,,,Spring Valley,emerald-sportswear,https://www.google.com/maps/search/?api=1&query=Emerald%20Sportswear%209971%20Campo%20Road%20Spring%20Valley%20CA,mobile phoneTap hours address services reviews seo social
89,Hue Salon,hairdresser,+1-619-520-7077,https://www.huesalonsandiego.com/,live,8,,,San Diego,hue-salon,https://www.google.com/maps/search/?api=1&query=Hue%20Salon%204028%20Wabaska%20Drive%20San%20Diego%20CA,mobile https phoneTap hours services reviews cta seo
89,El Cajon Family Dental,dentist,+1 619 466 1292,http://elcajonfamilydental.com/,live,7,,,El Cajon,el-cajon-family-dental,https://www.google.com/maps/search/?api=1&query=El%20Cajon%20Family%20Dental%202720%20Fletcher%20Parkway%20El%20Cajon%20CA,mobile https hours services reviews seo social
87,San Diego Training Systems,fitness centre,+1-858-945-3695,https://sandiegotrainingsystems.com/,live,9,,,San Diego,san-diego-training-systems,https://www.google.com/maps/search/?api=1&query=San%20Diego%20Training%20Systems%204206%20Sorrento%20Valley%20Boulevard%20San%20Diego%20CA,mobile phoneTap hours address services reviews seo meta social
85,Ducky's Barber Shop,hairdresser,+1-619-456-3232,https://duckysbarbershop.com/,© 1999,10,,,El Cajon,ducky-s-barber-shop,https://www.google.com/maps/search/?api=1&query=Ducky's%20Barber%20Shop%20941%20Broadway%20El%20Cajon%20CA,speed phoneTap hours address services reviews cta seo meta social
85,"Ace Contractors Plumbing, Heating, And Air",plumber,+1 858 480 6618,https://www.plumbing-heating-air-experts.com/,© 1999,10,,,San Diego,ace-contractors-plumbing-heating-and-air,https://www.google.com/maps/search/?api=1&query=Ace%20Contractors%20Plumbing%2C%20Heating%2C%20And%20Air%20650%20Columbia%20Street%20San%20Diego%20CA,speed phoneTap hours address services reviews cta seo meta social
85,Alexander's Upholstering,upholsterer,+1-619-222-1345,https://alexandersupholstering.com/,© 1999,10,,,San Diego,alexander-s-upholstering,https://www.google.com/maps/search/?api=1&query=Alexander's%20Upholstering%204034%20Wabaska%20Drive%20San%20Diego%20CA,speed phoneTap hours address services reviews cta seo meta social
