surface,file,line,occurrence,status
source,.env.example,2,montano makes that,RESOLVED
source,.env.example,10,montano makes that,RESOLVED
source,.env.example,13,montano makes that,RESOLVED
source,.env.example,14,montano makes that,RESOLVED
source,.env.example,18,montano makes that,RESOLVED
source,.env.example,20,montano makes that,RESOLVED
source,.env.example,22,montano makes that,RESOLVED
source,.env.example,45,montano makes that,RESOLVED
source,.env.example,45,montano makes that,RESOLVED
source,.env.example,73,mmt,RESOLVED
source,.env.example,74,mmt,RESOLVED
source,README.md,1,montano makes that,RESOLVED
source,README.md,51,mmt,RESOLVED
source,README.md,80,mmt,RESOLVED
source,README.md,80,mmt,RESOLVED
source,README.md,83,montano makes that,RESOLVED
source,README.md,83,montano,RESOLVED
source,README.md,102,mmt,RESOLVED
source,README.md,145,mmt,RESOLVED
source,README.md,185,mmt,RESOLVED
source,README.md,192,mmt,RESOLVED
source,README.md,218,mmt,RESOLVED
source,README.md,247,mmt,RESOLVED
source,README.md,334,mmt,RESOLVED
source,README.md,342,mmt,RESOLVED
source,README.md,343,mmt,RESOLVED
source,README.md,343,mmt,RESOLVED
source,README.md,346,mmt,RESOLVED
source,app.py,2,mmt,RESOLVED
source,mmt/__init__.py,1,montano makes that,RESOLVED
source,mmt/blueprints/admin.py,302,mmt,RESOLVED
source,mmt/blueprints/admin.py,447,mmt,RESOLVED
source,mmt/blueprints/public.py,97,mmt,RESOLVED
source,mmt/blueprints/public.py,112,mmt,RESOLVED
source,mmt/config.py,1,montano makes that,RESOLVED
source,mmt/config.py,29,mmt,RESOLVED
source,mmt/config.py,30,mmt,RESOLVED
source,mmt/config.py,39,montano makes that,RESOLVED
source,mmt/config.py,44,montano makes that,RESOLVED
source,mmt/config.py,47,montano makes that,RESOLVED
source,mmt/config.py,48,montano makes that,RESOLVED
source,mmt/config.py,49,montano makes that,RESOLVED
source,mmt/config.py,67,montano makes that,RESOLVED
source,mmt/config.py,67,montano makes that,RESOLVED
source,mmt/db.py,124,mmt,RESOLVED
source,mmt/freight.py,4,montano,RESOLVED
source,mmt/membership.py,116,mmt,RESOLVED
source,mmt/membership.py,128,mmt,RESOLVED
source,mmt/membership.py,174,montano,RESOLVED
source,mmt/membership.py,217,montano,RESOLVED
source,mmt/orders.py,198,mmt,RESOLVED
source,mmt/schema.sql,1,montano makes that,RESOLVED
source,mmt/seed.py,25,montano,RESOLVED
source,mmt/seed.py,30,mmt,RESOLVED
source,mmt/seed.py,31,montano,RESOLVED
source,mmt/seed.py,33,mmt,RESOLVED
source,mmt/seed.py,34,montano,RESOLVED
source,mmt/seed.py,36,mmt,RESOLVED
source,mmt/seed.py,37,montano,RESOLVED
source,mmt/seed.py,39,mmt,RESOLVED
source,mmt/seed.py,40,montano,RESOLVED
source,mmt/seed.py,42,mmt,RESOLVED
source,mmt/seed.py,43,montano,RESOLVED
source,mmt/seed.py,57,mmt,RESOLVED
source,mmt/seed.py,64,mmt,RESOLVED
source,mmt/seed.py,69,mmt,RESOLVED
source,mmt/seed.py,74,mmt,RESOLVED
source,mmt/seed.py,79,mmt,RESOLVED
source,mmt/seed.py,93,montano,RESOLVED
source,mmt/seed.py,119,mmt,RESOLVED
source,mmt/seed.py,125,montano,RESOLVED
source,mmt/seed.py,127,montano makes that,RESOLVED
source,mmt/seed.py,152,mmt,RESOLVED
