table,id,label,evidence
customers,1,Halcyon Goods,"is_fixture = 1, stamped by monti.seed at insert time"
customers,2,Northfield Outfitters,"is_fixture = 1, stamped by monti.seed at insert time"
customers,3,Verano Skincare,"is_fixture = 1, stamped by monti.seed at insert time"
customers,4,Grit & Grain Coffee,"is_fixture = 1, stamped by monti.seed at insert time"
customers,5,Solace Home,"is_fixture = 1, stamped by monti.seed at insert time"
customers,6,Serena Williams,"is_fixture = 1, stamped by monti.seed at insert time"
customers,7,Keanu Reeves,"is_fixture = 1, stamped by monti.seed at insert time"
customers,8,Zendaya,"is_fixture = 1, stamped by monti.seed at insert time"
customers,9,Idris Elba,"is_fixture = 1, stamped by monti.seed at insert time"
customers,10,Rihanna,"is_fixture = 1, stamped by monti.seed at insert time"
applications,1,Halcyon Goods,"is_fixture = 1, stamped by monti.seed at insert time"
applications,2,Grit & Grain Coffee,"is_fixture = 1, stamped by monti.seed at insert time"
applications,3,Verano Skincare,"is_fixture = 1, stamped by monti.seed at insert time"
applications,4,Northfield Outfitters,"is_fixture = 1, stamped by monti.seed at insert time"
applications,5,Lumen Retail Group,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,1,MMI-Q-5001,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,2,MMI-Q-5002,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,3,MMI-Q-5003,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,4,MMI-Q-5004,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,5,MMI-Q-5005,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,6,MMI-Q-5006,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,7,MMI-Q-5007,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,8,MMI-Q-5008,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,9,MMI-Q-5009,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,10,MMI-Q-5010,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,11,MMI-Q-5011,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,12,MMI-Q-5012,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,13,MMI-Q-1001,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,14,MMI-Q-1002,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,15,MMI-Q-1003,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,16,MMI-Q-1004,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,17,MMI-Q-1005,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,18,MMI-Q-1006,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,19,MMI-Q-5013,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,20,MMI-Q-5014,"is_fixture = 1, stamped by monti.seed at insert time"
quotes,21,MMI-Q-5015,"is_fixture = 1, stamped by monti.seed at insert time"
orders,1,MMI-O-2001,"is_fixture = 1, stamped by monti.seed at insert time"
orders,2,MMI-O-2002,"is_fixture = 1, stamped by monti.seed at insert time"
orders,3,MMI-O-2003,"is_fixture = 1, stamped by monti.seed at insert time"
orders,4,MMI-O-2004,"is_fixture = 1, stamped by monti.seed at insert time"
orders,5,MMI-O-3001,"is_fixture = 1, stamped by monti.seed at insert time"
orders,6,MMI-O-3002,"is_fixture = 1, stamped by monti.seed at insert time"
orders,7,MMI-O-3003,"is_fixture = 1, stamped by monti.seed at insert time"
orders,8,MMI-O-3004,"is_fixture = 1, stamped by monti.seed at insert time"
orders,9,MMI-O-3005,"is_fixture = 1, stamped by monti.seed at insert time"
orders,10,MMI-O-3006,"is_fixture = 1, stamped by monti.seed at insert time"
orders,11,MMI-O-3007,"is_fixture = 1, stamped by monti.seed at insert time"
orders,12,MMI-O-3008,"is_fixture = 1, stamped by monti.seed at insert time"
orders,13,MMI-O-3009,"is_fixture = 1, stamped by monti.seed at insert time"
orders,14,MMI-O-3010,"is_fixture = 1, stamped by monti.seed at insert time"
orders,15,MMI-O-3011,"is_fixture = 1, stamped by monti.seed at insert time"
orders,16,MMI-O-3012,"is_fixture = 1, stamped by monti.seed at insert time"
orders,17,MMI-O-3013,"is_fixture = 1, stamped by monti.seed at insert time"
orders,18,MMI-O-3014,"is_fixture = 1, stamped by monti.seed at insert time"
orders,19,MMI-O-3015,"is_fixture = 1, stamped by monti.seed at insert time"
orders,20,MMI-O-3016,"is_fixture = 1, stamped by monti.seed at insert time"
orders,21,MMI-O-3017,"is_fixture = 1, stamped by monti.seed at insert time"
orders,22,MMI-O-3018,"is_fixture = 1, stamped by monti.seed at insert time"
orders,23,MMI-O-3019,"is_fixture = 1, stamped by monti.seed at insert time"
orders,24,MMI-O-3020,"is_fixture = 1, stamped by monti.seed at insert time"
orders,25,MMI-O-3021,"is_fixture = 1, stamped by monti.seed at insert time"
orders,26,MMI-O-3022,"is_fixture = 1, stamped by monti.seed at insert time"
orders,27,MMI-O-3023,"is_fixture = 1, stamped by monti.seed at insert time"
orders,28,MMI-O-3024,"is_fixture = 1, stamped by monti.seed at insert time"
orders,29,MMI-O-3025,"is_fixture = 1, stamped by monti.seed at insert time"
orders,30,MMI-O-3026,"is_fixture = 1, stamped by monti.seed at insert time"
orders,31,MMI-O-3027,"is_fixture = 1, stamped by monti.seed at insert time"
orders,32,MMI-O-3028,"is_fixture = 1, stamped by monti.seed at insert time"
orders,33,MMI-O-3029,"is_fixture = 1, stamped by monti.seed at insert time"
orders,34,MMI-O-3030,"is_fixture = 1, stamped by monti.seed at insert time"
orders,35,MMI-O-3031,"is_fixture = 1, stamped by monti.seed at insert time"
orders,36,MMI-O-3032,"is_fixture = 1, stamped by monti.seed at insert time"
orders,37,MMI-O-3033,"is_fixture = 1, stamped by monti.seed at insert time"
orders,38,MMI-O-3034,"is_fixture = 1, stamped by monti.seed at insert time"
orders,39,MMI-O-3035,"is_fixture = 1, stamped by monti.seed at insert time"
orders,40,MMI-O-3036,"is_fixture = 1, stamped by monti.seed at insert time"
orders,41,MMI-O-3037,"is_fixture = 1, stamped by monti.seed at insert time"
orders,42,MMI-O-3038,"is_fixture = 1, stamped by monti.seed at insert time"
orders,43,MMI-O-3039,"is_fixture = 1, stamped by monti.seed at insert time"
orders,44,MMI-O-3040,"is_fixture = 1, stamped by monti.seed at insert time"
orders,45,MMI-O-3041,"is_fixture = 1, stamped by monti.seed at insert time"
orders,46,MMI-O-3042,"is_fixture = 1, stamped by monti.seed at insert time"
orders,47,MMI-O-3043,"is_fixture = 1, stamped by monti.seed at insert time"
orders,48,MMI-O-3044,"is_fixture = 1, stamped by monti.seed at insert time"
orders,49,MMI-O-3045,"is_fixture = 1, stamped by monti.seed at insert time"
orders,50,MMI-O-3046,"is_fixture = 1, stamped by monti.seed at insert time"
orders,51,MMI-O-3047,"is_fixture = 1, stamped by monti.seed at insert time"
orders,52,MMI-O-3048,"is_fixture = 1, stamped by monti.seed at insert time"
orders,53,MMI-O-3049,"is_fixture = 1, stamped by monti.seed at insert time"
orders,54,MMI-O-3050,"is_fixture = 1, stamped by monti.seed at insert time"
orders,55,MMI-O-3051,"is_fixture = 1, stamped by monti.seed at insert time"
orders,56,MMI-O-3052,"is_fixture = 1, stamped by monti.seed at insert time"
orders,57,MMI-O-3053,"is_fixture = 1, stamped by monti.seed at insert time"
orders,58,MMI-O-3054,"is_fixture = 1, stamped by monti.seed at insert time"
orders,59,MMI-O-3055,"is_fixture = 1, stamped by monti.seed at insert time"
orders,60,MMI-O-3056,"is_fixture = 1, stamped by monti.seed at insert time"
orders,61,MMI-O-3057,"is_fixture = 1, stamped by monti.seed at insert time"
orders,62,MMI-O-3058,"is_fixture = 1, stamped by monti.seed at insert time"
orders,63,MMI-O-3059,"is_fixture = 1, stamped by monti.seed at insert time"
orders,64,MMI-O-3060,"is_fixture = 1, stamped by monti.seed at insert time"
orders,65,MMI-O-3061,"is_fixture = 1, stamped by monti.seed at insert time"
orders,66,MMI-O-3062,"is_fixture = 1, stamped by monti.seed at insert time"
orders,67,MMI-O-3063,"is_fixture = 1, stamped by monti.seed at insert time"
orders,68,MMI-O-3064,"is_fixture = 1, stamped by monti.seed at insert time"
orders,69,MMI-O-3065,"is_fixture = 1, stamped by monti.seed at insert time"
orders,70,MMI-O-3066,"is_fixture = 1, stamped by monti.seed at insert time"
orders,71,MMI-O-3067,"is_fixture = 1, stamped by monti.seed at insert time"
orders,72,MMI-O-3068,"is_fixture = 1, stamped by monti.seed at insert time"
orders,73,MMI-O-3069,"is_fixture = 1, stamped by monti.seed at insert time"
orders,74,MMI-O-3070,"is_fixture = 1, stamped by monti.seed at insert time"
orders,75,MMI-O-3071,"is_fixture = 1, stamped by monti.seed at insert time"
orders,76,MMI-O-3072,"is_fixture = 1, stamped by monti.seed at insert time"
orders,77,MMI-O-3073,"is_fixture = 1, stamped by monti.seed at insert time"
orders,78,MMI-O-3074,"is_fixture = 1, stamped by monti.seed at insert time"
orders,79,MMI-O-3075,"is_fixture = 1, stamped by monti.seed at insert time"
orders,80,MMI-O-3076,"is_fixture = 1, stamped by monti.seed at insert time"
orders,81,MMI-O-3077,"is_fixture = 1, stamped by monti.seed at insert time"
orders,82,MMI-O-3078,"is_fixture = 1, stamped by monti.seed at insert time"
orders,83,MMI-O-3079,"is_fixture = 1, stamped by monti.seed at insert time"
orders,84,MMI-O-3080,"is_fixture = 1, stamped by monti.seed at insert time"
orders,85,MMI-O-3081,"is_fixture = 1, stamped by monti.seed at insert time"
orders,86,MMI-O-3082,"is_fixture = 1, stamped by monti.seed at insert time"
orders,87,MMI-O-3083,"is_fixture = 1, stamped by monti.seed at insert time"
orders,88,MMI-O-3084,"is_fixture = 1, stamped by monti.seed at insert time"
orders,89,MMI-O-3085,"is_fixture = 1, stamped by monti.seed at insert time"
orders,90,MMI-O-3086,"is_fixture = 1, stamped by monti.seed at insert time"
orders,91,MMI-O-3087,"is_fixture = 1, stamped by monti.seed at insert time"
orders,92,MMI-O-3088,"is_fixture = 1, stamped by monti.seed at insert time"
orders,93,MMI-O-3089,"is_fixture = 1, stamped by monti.seed at insert time"
orders,94,MMI-O-3090,"is_fixture = 1, stamped by monti.seed at insert time"
orders,95,MMI-O-3091,"is_fixture = 1, stamped by monti.seed at insert time"
orders,96,MMI-O-3092,"is_fixture = 1, stamped by monti.seed at insert time"
orders,97,MMI-O-3093,"is_fixture = 1, stamped by monti.seed at insert time"
orders,98,MMI-O-3094,"is_fixture = 1, stamped by monti.seed at insert time"
orders,99,MMI-O-3095,"is_fixture = 1, stamped by monti.seed at insert time"
orders,100,MMI-O-3096,"is_fixture = 1, stamped by monti.seed at insert time"
orders,101,MMI-O-3097,"is_fixture = 1, stamped by monti.seed at insert time"
orders,102,MMI-O-3098,"is_fixture = 1, stamped by monti.seed at insert time"
orders,103,MMI-O-3099,"is_fixture = 1, stamped by monti.seed at insert time"
orders,104,MMI-O-3100,"is_fixture = 1, stamped by monti.seed at insert time"
orders,105,MMI-O-3101,"is_fixture = 1, stamped by monti.seed at insert time"
orders,106,MMI-O-3102,"is_fixture = 1, stamped by monti.seed at insert time"
orders,107,MMI-O-3103,"is_fixture = 1, stamped by monti.seed at insert time"
orders,108,MMI-O-3104,"is_fixture = 1, stamped by monti.seed at insert time"
orders,109,MMI-O-3105,"is_fixture = 1, stamped by monti.seed at insert time"
orders,110,MMI-O-3106,"is_fixture = 1, stamped by monti.seed at insert time"
orders,111,MMI-O-3107,"is_fixture = 1, stamped by monti.seed at insert time"
orders,112,MMI-O-3108,"is_fixture = 1, stamped by monti.seed at insert time"
orders,113,MMI-O-3109,"is_fixture = 1, stamped by monti.seed at insert time"
orders,114,MMI-O-3110,"is_fixture = 1, stamped by monti.seed at insert time"
orders,115,MMI-O-3111,"is_fixture = 1, stamped by monti.seed at insert time"
orders,116,MMI-O-3112,"is_fixture = 1, stamped by monti.seed at insert time"
orders,117,MMI-O-3113,"is_fixture = 1, stamped by monti.seed at insert time"
orders,118,MMI-O-3114,"is_fixture = 1, stamped by monti.seed at insert time"
orders,119,MMI-O-3115,"is_fixture = 1, stamped by monti.seed at insert time"
orders,120,MMI-O-3116,"is_fixture = 1, stamped by monti.seed at insert time"
orders,121,MMI-O-3117,"is_fixture = 1, stamped by monti.seed at insert time"
orders,122,MMI-O-3118,"is_fixture = 1, stamped by monti.seed at insert time"
orders,123,MMI-O-3119,"is_fixture = 1, stamped by monti.seed at insert time"
orders,124,MMI-O-3120,"is_fixture = 1, stamped by monti.seed at insert time"
orders,125,MMI-O-3121,"is_fixture = 1, stamped by monti.seed at insert time"
orders,126,MMI-O-3122,"is_fixture = 1, stamped by monti.seed at insert time"
orders,127,MMI-O-3123,"is_fixture = 1, stamped by monti.seed at insert time"
orders,128,MMI-O-3124,"is_fixture = 1, stamped by monti.seed at insert time"
orders,129,MMI-O-3125,"is_fixture = 1, stamped by monti.seed at insert time"
orders,130,MMI-O-3126,"is_fixture = 1, stamped by monti.seed at insert time"
orders,131,MMI-O-3127,"is_fixture = 1, stamped by monti.seed at insert time"
