kind	surface	detail	area	duplicate_of	items
route	GET /	public.home	public		
route	GET,POST /account/password	auth.change_password	auth		
route	GET /admin/	admin.dashboard	admin		
route	GET /admin/applications	admin.applications	admin		
route	GET,POST /admin/applications/<int:app_id>	admin.application_detail	admin		
route	GET /admin/calendar	admin.calendar_view	admin		
route	POST /admin/calendar/<int:event_id>/delete	admin.calendar_delete	admin		
route	POST /admin/calendar/<int:event_id>/done	admin.calendar_done	admin		
route	POST /admin/calendar/new	admin.calendar_new	admin		
route	GET /admin/catalog	admin.catalog	admin		
route	GET,POST /admin/catalog/<int:item_id>	admin.catalog_detail	admin		
route	GET,POST /admin/catalog/new	admin.catalog_new	admin		
route	GET /admin/clients/<int:customer_id>/open	admin.open_client	admin		CHG-017
route	GET /admin/clients/close	admin.close_client	admin		CHG-017
route	GET /admin/crm	admin.crm	admin		
route	GET,POST /admin/crm/<int:customer_id>	admin.crm_detail	admin		
route	GET,POST /admin/crm/new	admin.crm_new	admin		
route	GET /admin/desk	admin.desk	admin		
route	GET /admin/desk/<ref>	admin.desk	admin		
route	POST /admin/desk/<ref>	admin.desk_save	admin		
route	GET /admin/emails	admin.emails	admin		
route	GET /admin/incoming	admin.incoming	admin		
route	POST /admin/incoming/<int:quote_id>/<action>	admin.triage	admin		
route	GET /admin/ledger	admin.ledger_view	admin		CHG-009
route	GET /admin/ledger/export.csv	admin.ledger_export	admin		CHG-009
route	GET /admin/ledger/receipt/<receipt_no>	admin.ledger_receipt	admin		CHG-009,CHG-014
route	GET /admin/orders	admin.orders	admin		
route	GET,POST /admin/orders/<int:order_id>	admin.order_detail	admin		
route	GET /admin/quotes	admin.quotes	admin		
route	GET,POST /admin/quotes/<int:quote_id>	admin.quote_detail	admin		
route	POST /admin/quotes/<int:quote_id>/to-catalog	admin.quote_to_catalog	admin		
route	GET /admin/revenue	admin.revenue	admin		CHG-001,CHG-002,CHG-005,CHG-008,CHG-009,CHG-010
route	GET,POST /admin/settings	admin.settings	admin		
route	GET,POST /apply	public.apply	public		
route	GET /catalogue	public.catalogue_index	public		
route	GET /catalogue/<sku>	public.catalogue_item	public		
route	GET /contact	public.contact	public		
route	GET /how-it-works	public.how_it_works	public		
route	GET,POST /login	auth.login	auth		
route	GET /logout	auth.logout	auth		
route	GET /membership	public.membership_page	public		
route	GET /portal/	portal.dashboard	portal		CHG-004
route	GET /portal/cart	portal.cart	portal		CHG-004
route	POST /portal/cart/add/<int:item_id>	portal.cart_add	portal		CHG-004
route	POST /portal/cart/checkout	portal.cart_checkout	portal		CHG-004
route	POST /portal/cart/remove/<int:cart_id>	portal.cart_remove	portal		CHG-004
route	GET /portal/catalog	portal.catalog	portal		CHG-004
route	GET /portal/catalog/<int:item_id>	portal.catalog_item	portal		CHG-004
route	GET /portal/checkout/return/<ref>	portal.checkout_return	portal		CHG-004
route	GET,POST /portal/checkout/simulate/<ref>	portal.mock_bank	portal		CHG-004
route	GET /portal/files/<int:file_id>	portal.download_file	portal		CHG-004
route	GET /portal/genome/<int:item_id>	portal.genome	portal		CHG-004
route	GET,POST /portal/intake	portal.intake	portal		CHG-004
route	POST /portal/intake/box	portal.request_box	portal		CHG-004
route	GET /portal/ledger	portal.ledger_view	portal		CHG-004,CHG-009
route	GET /portal/ledger/export.csv	portal.ledger_export	portal		CHG-004,CHG-009
route	GET /portal/ledger/receipt/<receipt_no>	portal.ledger_receipt	portal		CHG-004,CHG-009,CHG-014
route	GET /portal/membership	portal.membership_record	portal		CHG-004
route	GET /portal/orders	portal.orders	portal		CHG-004
route	GET /portal/orders/<int:order_id>	portal.order_detail	portal		CHG-004
route	GET /portal/orders/<int:order_id>/checkout	portal.checkout	portal		CHG-004
route	POST /portal/orders/<int:order_id>/pay	portal.pay	portal		CHG-004
route	GET /portal/products	portal.products	portal		CHG-004
route	GET /portal/products/<ref>	portal.products	portal		CHG-004
route	POST /portal/products/<ref>/accept	portal.product_accept	portal		CHG-004
route	POST /portal/products/<ref>/name	portal.product_rename	portal		CHG-004
route	GET /portal/purchases	portal.purchases	portal		CHG-004
route	GET /portal/quotes	portal.quotes	portal		CHG-004
route	GET /portal/quotes/<int:quote_id>	portal.quote_detail	portal		CHG-004
route	POST /portal/quotes/<int:quote_id>/accept	portal.accept_quote	portal		CHG-004
route	POST /portal/quotes/<int:quote_id>/decline	portal.decline_quote	portal		CHG-004
route	GET,POST /portal/requests	portal.requests_page	portal		CHG-004
route	GET /portal/room	portal.room	portal		CHG-004
route	GET /portal/room/<ref>	portal.room	portal		CHG-004
route	GET,POST /quote	public.quote	public		
route	POST /webhooks/stripe	webhooks.stripe	webhooks		
template	monti/templates/_flashes.html	_flashes.html	shared		
template	monti/templates/_image_viewer.html	_image_viewer.html	shared		CHG-016
template	monti/templates/_ledger.html	_ledger.html	shared		CHG-009,CHG-010,CHG-011,CHG-014,CHG-016
template	monti/templates/_shell.html	_shell.html	shared		CHG-012,CHG-016,CHG-017
template	monti/templates/admin/_base.html	_base.html	admin		CHG-014,CHG-016
template	monti/templates/admin/application_detail.html	application_detail.html	admin		CHG-011,CHG-016
template	monti/templates/admin/applications.html	applications.html	admin		CHG-016
template	monti/templates/admin/calendar.html	calendar.html	admin		CHG-016
template	monti/templates/admin/catalog.html	catalog.html	admin		CHG-010,CHG-011,CHG-013,CHG-016
template	monti/templates/admin/catalog_detail.html	catalog_detail.html	admin		CHG-010,CHG-011,CHG-013,CHG-016
template	monti/templates/admin/catalog_form.html	catalog_form.html	admin		CHG-016
template	monti/templates/admin/crm.html	crm.html	admin		CHG-010,CHG-011,CHG-013,CHG-016
template	monti/templates/admin/crm_detail.html	crm_detail.html	admin		CHG-011,CHG-013,CHG-015,CHG-016
template	monti/templates/admin/crm_new.html	crm_new.html	admin		CHG-016
template	monti/templates/admin/dashboard.html	dashboard.html	admin		CHG-010,CHG-011,CHG-013,CHG-016
template	monti/templates/admin/desk.html	desk.html	admin		CHG-010,CHG-011,CHG-016
template	monti/templates/admin/emails.html	emails.html	admin		CHG-013,CHG-016
template	monti/templates/admin/incoming.html	incoming.html	admin		CHG-010,CHG-011,CHG-013,CHG-016
template	monti/templates/admin/ledger.html	ledger.html	admin		CHG-011,CHG-014,CHG-016
template	monti/templates/admin/order_detail.html	order_detail.html	admin		CHG-005,CHG-011,CHG-013,CHG-016
template	monti/templates/admin/orders.html	orders.html	admin		CHG-011,CHG-013,CHG-016
template	monti/templates/admin/quote_detail.html	quote_detail.html	admin		CHG-011,CHG-013,CHG-016
template	monti/templates/admin/quotes.html	quotes.html	admin		CHG-011,CHG-013,CHG-016
template	monti/templates/admin/receipt.html	receipt.html	admin		CHG-010,CHG-011,CHG-014,CHG-016
template	monti/templates/admin/revenue.html	revenue.html	admin		CHG-001,CHG-002,CHG-005,CHG-008,CHG-009,CHG-010,CHG-011,CHG-013,CHG-016
template	monti/templates/admin/settings.html	settings.html	admin		CHG-016
template	monti/templates/auth/change_password.html	change_password.html	auth		CHG-016
template	monti/templates/auth/login.html	login.html	auth		CHG-013,CHG-016
template	monti/templates/base.html	base.html	shared		CHG-016
email	monti/templates/email/_layout.html	_layout.html	email		CHG-013
email	monti/templates/email/application_approved.html	application_approved.html	email		CHG-013,CHG-016
email	monti/templates/email/application_declined.html	application_declined.html	email		CHG-013,CHG-016
email	monti/templates/email/application_internal.html	application_internal.html	email		CHG-013,CHG-016
email	monti/templates/email/application_interview.html	application_interview.html	email		CHG-013,CHG-016
email	monti/templates/email/application_received.html	application_received.html	email		CHG-013,CHG-016
email	monti/templates/email/estimate_ready.html	estimate_ready.html	email		CHG-013,CHG-016
email	monti/templates/email/order_approved.html	order_approved.html	email		CHG-013,CHG-016
email	monti/templates/email/order_held.html	order_held.html	email		CHG-013,CHG-016
email	monti/templates/email/order_internal.html	order_internal.html	email		CHG-013,CHG-016
email	monti/templates/email/order_receipt.html	order_receipt.html	email		CHG-013,CHG-014,CHG-016
email	monti/templates/email/order_shipped.html	order_shipped.html	email		CHG-013,CHG-016
email	monti/templates/email/order_tracking.html	order_tracking.html	email		CHG-013,CHG-016
email	monti/templates/email/portal_invite.html	portal_invite.html	email		CHG-013,CHG-016
email	monti/templates/email/quote_accepted.html	quote_accepted.html	email		CHG-013,CHG-016
email	monti/templates/email/quote_internal.html	quote_internal.html	email		CHG-013,CHG-016
email	monti/templates/email/quote_received.html	quote_received.html	email		CHG-013,CHG-016
email	monti/templates/email/quote_rejected.html	quote_rejected.html	email		CHG-013,CHG-016
template	monti/templates/errors/400.html	400.html	errors		CHG-013,CHG-016
template	monti/templates/errors/403.html	403.html	errors		CHG-013,CHG-016
template	monti/templates/errors/404.html	404.html	errors		CHG-013,CHG-016
template	monti/templates/errors/413.html	413.html	errors		CHG-013,CHG-016
template	monti/templates/portal/_base.html	_base.html	portal		CHG-004,CHG-016
template	monti/templates/portal/_order_progress.html	_order_progress.html	portal		CHG-004
template	monti/templates/portal/_timeline.html	_timeline.html	portal		CHG-004,CHG-016
template	monti/templates/portal/cart.html	cart.html	portal		CHG-004,CHG-010,CHG-011,CHG-013,CHG-016
template	monti/templates/portal/catalog.html	catalog.html	portal		CHG-004,CHG-011,CHG-013,CHG-016
template	monti/templates/portal/catalog_item.html	catalog_item.html	portal		CHG-004,CHG-011,CHG-013,CHG-016
